Vorderseite;Rückseite
"```java<br>int[][] arr = {{1,2,3},{4,5,6}};<br>for(int i=0; i<arr.length; i++) {<br>    for(int j=0; j<arr.length; j++) {<br>        System.out.print(arr[j][i]);<br>    }<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start] --> B[i=0 to arr.length-1]<br>    B --> C[j=0 to arr.length-1]<br>    C --> D[print arr[j][i]]<br>    D --> C<br>    C --> B<br>    B --> E[Ende]</div><br><br><strong>Output:</strong> <code>1425</code> | <strong>Index:</strong> <code>1</code><br><br><span style='color: #d35400; font-style: italic;'>Hinweis: arr.length in der inneren Schleife ist unsicher, da es die Zeilenanzahl (2) statt Spaltenanzahl (arr[0].length=3) verwendet.</span><br><br><table><tr><th>i</th><th>j</th><th>arr[j][i]</th><th>print</th></tr><tr><td>0</td><td>0</td><td>1</td><td><code>1</code></td></tr><tr><td>0</td><td>1</td><td>4</td><td><code>4</code></td></tr><tr><td>1</td><td>0</td><td>2</td><td><code>2</code></td></tr><tr><td>1</td><td>1</td><td>5</td><td><code>5</code></td></tr></table>"
"```java<br>int[][] arr = {{1,2},{3,4}};<br>int i=0, sum=0;<br>while(i<arr.length) {<br>    int j=0;<br>    while(j<arr[0].length) {<br>        sum += arr[i][j];<br>        j++;<br>    }<br>    i++;<br>}<br>System.out.print(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=0] --> B{i < arr.length?}<br>    B -- ja --> C[j=0]<br>    C --> D{j < arr[0].length?}<br>    D -- ja --> E[sum += arr[i][j]]<br>    E --> F[j++]<br>    F --> D<br>    D -- nein --> G[i++]<br>    G --> B<br>    B -- nein --> H[print sum]</div><br><br><strong>Output:</strong> <code>10</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>i</th><th>j</th><th>arr[i][j]</th><th>sum</th></tr><tr><td>0</td><td>0</td><td>1</td><td>1</td></tr><tr><td>0</td><td>1</td><td>2</td><td>3</td></tr><tr><td>1</td><td>0</td><td>3</td><td>6</td></tr><tr><td>1</td><td>1</td><td>4</td><td>10</td></tr></table>"
"```java<br>int[][] arr = {{1,2,3},{4,5,6}};<br>for(int i=0; i<arr.length; i++) {<br>    for(int j=0; j<arr[0].length; j++) {<br>        arr[i][j] = i + j;<br>    }<br>}<br>System.out.print(arr[1][2]);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start] --> B[i=0 to arr.length-1]<br>    B --> C[j=0 to arr[0].length-1]<br>    C --> D[arr[i][j] = i + j]<br>    D --> C<br>    C --> B<br>    B --> E[print arr[1][2]]</div><br><br><strong>Output:</strong> <code>3</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>j</th><th>i+j</th><th>arr[i][j]</th></tr><tr><td>0</td><td>0</td><td>0</td><td>0</td></tr><tr><td>0</td><td>1</td><td>1</td><td>1</td></tr><tr><td>0</td><td>2</td><td>2</td><td>2</td></tr><tr><td>1</td><td>0</td><td>1</td><td>1</td></tr><tr><td>1</td><td>1</td><td>2</td><td>2</td></tr><tr><td>1</td><td>2</td><td>3</td><td>3</td></tr></table>"
"```java<br>int[][] arr = {{1,2},{3,4},{5,6}};<br>System.out.print(arr[0].length);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: arr={{1,2},{3,4},{5,6}}] --> B[print arr[0].length]</div><br><br><strong>Output:</strong> <code>2</code> | <strong>Index:</strong> <code>0</code>"
"```java<br>int[][] arr = {{1,2,3},{4,5,6}};<br>for(int i=0; i<arr.length; i++) {<br>    for(int j=0; j<arr[0].length; j++) {<br>        System.out.print(arr[i][2-j]);<br>    }<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start] --> B[i=0 to arr.length-1]<br>    B --> C[j=0 to arr[0].length-1]<br>    C --> D[print arr[i][2-j]]<br>    D --> C<br>    C --> B<br>    B --> E[Ende]</div><br><br><strong>Output:</strong> <code>321654</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>i</th><th>j</th><th>2-j</th><th>arr[i][2-j]</th><th>print</th></tr><tr><td>0</td><td>0</td><td>2</td><td>3</td><td><code>3</code></td></tr><tr><td>0</td><td>1</td><td>1</td><td>2</td><td><code>2</code></td></tr><tr><td>0</td><td>2</td><td>0</td><td>1</td><td><code>1</code></td></tr><tr><td>1</td><td>0</td><td>2</td><td>6</td><td><code>6</code></td></tr><tr><td>1</td><td>1</td><td>1</td><td>5</td><td><code>5</code></td></tr><tr><td>1</td><td>2</td><td>0</td><td>4</td><td><code>4</code></td></tr></table>"
"```java<br>int[][] arr = {{1,2},{3,4}};<br>for(int i=0; i<arr.length; i++) {<br>    for(int j=0; j<arr[0].length; j++) {<br>        if(arr[i][j] % 2 == 0) {<br>            System.out.print(arr[i][j]);<br>        }<br>    }<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start] --> B[i=0 to arr.length-1]<br>    B --> C[j=0 to arr[0].length-1]<br>    C --> D{arr[i][j] % 2 == 0?}<br>    D -- ja --> E[print arr[i][j]]<br>    D -- nein --> C<br>    E --> C<br>    C --> B<br>    B --> F[Ende]</div><br><br><strong>Output:</strong> <code>24</code> | <strong>Index:</strong> <code>0</code><br><br><table><tr><th>i</th><th>j</th><th>arr[i][j]</th><th>%2</th><th>print</th></tr><tr><td>0</td><td>0</td><td>1</td><td>1</td><td>-</td></tr><tr><td>0</td><td>1</td><td>2</td><td>0</td><td><code>2</code></td></tr><tr><td>1</td><td>0</td><td>3</td><td>1</td><td>-</td></tr><tr><td>1</td><td>1</td><td>4</td><td>0</td><td><code>4</code></td></tr></table>"
"```java<br>int[][] arr = {{1,3,5},{2,4,6}};<br>for(int i=0; i<arr.length; i++) {<br>    for(int j=0; j<arr.length; j++) {<br>        System.out.print(arr[i][j]);<br>    }<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start] --> B[i=0 to arr.length-1]<br>    B --> C[j=0 to arr.length-1]<br>    C --> D[print arr[i][j]]<br>    D --> C<br>    C --> B<br>    B --> E[Ende]</div><br><br><strong>Output:</strong> <code>1324</code> | <strong>Index:</strong> <code>1</code><br><br><span style='color: #d35400; font-style: italic;'>Hinweis: arr.length in der inneren Schleife ist unsicher, da es die Zeilenanzahl (2) statt Spaltenanzahl (arr[0].length=3) verwendet.</span><br><br><table><tr><th>i</th><th>j</th><th>arr[i][j]</th><th>print</th></tr><tr><td>0</td><td>0</td><td>1</td><td><code>1</code></td></tr><tr><td>0</td><td>1</td><td>3</td><td><code>3</code></td></tr><tr><td>1</td><td>0</td><td>2</td><td><code>2</code></td></tr><tr><td>1</td><td>1</td><td>4</td><td><code>4</code></td></tr></table>"
"```java<br>int[][] arr = {{1,2,3},{4,5,6}};<br>int sum = 0;<br>for(int i=0; i<arr.length; i++) {<br>    for(int j=0; j<arr[0].length; j++) {<br>        sum += arr[i][j];<br>    }<br>}<br>System.out.print(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=0] --> B[i=0 to arr.length-1]<br>    B --> C[j=0 to arr[0].length-1]<br>    C --> D[sum += arr[i][j]]<br>    D --> C<br>    C --> B<br>    B --> E[print sum]</div><br><br><strong>Output:</strong> <code>21</code> | <strong>Index:</strong> <code>3</code><br><br><table><tr><th>i</th><th>j</th><th>arr[i][j]</th><th>sum</th></tr><tr><td>0</td><td>0</td><td>1</td><td>1</td></tr><tr><td>0</td><td>1</td><td>2</td><td>3</td></tr><tr><td>0</td><td>2</td><td>3</td><td>6</td></tr><tr><td>1</td><td>0</td><td>4</td><td>10</td></tr><tr><td>1</td><td>1</td><td>5</td><td>15</td></tr><tr><td>1</td><td>2</td><td>6</td><td>21</td></tr></table>"
"```java<br>int[][] arr = {{1,2,3},{4,5,6}};<br>for(int i=0; i<arr.length; i++) {<br>    for(int j=0; j<arr.leght; j++) {<br>        System.out.print(arr[i][j]);<br>    }<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start] --> B[Compiler Fehler: arr.leght]</div><br><br><strong>Output:</strong> <code>Compiler Fehler</code> | <strong>Index:</strong> <code>0</code><br><br><span style='color: #d35400; font-style: italic;'>Hinweis: arr.leght ist ein Tippfehler (korrekt: arr.length).</span>"
"```java<br>int[][] arr = {{1,2,3},{4,5,6}};<br>int i=0, sum=1;<br>while(i<arr.length) {<br>    int j=0;<br>    while(j<arr[0].length) {<br>        sum *= arr[i][j];<br>        j++;<br>    }<br>    i++;<br>}<br>System.out.print(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=1] --> B{i < arr.length?}<br>    B -- ja --> C[j=0]<br>    C --> D{j < arr[0].length?}<br>    D -- ja --> E[sum *= arr[i][j]]<br>    E --> F[j++]<br>    F --> D<br>    D -- nein --> G[i++]<br>    G --> B<br>    B -- nein --> H[print sum]</div><br><br><strong>Output:</strong> <code>720</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>j</th><th>arr[i][j]</th><th>sum</th></tr><tr><td>0</td><td>0</td><td>1</td><td>1</td></tr><tr><td>0</td><td>1</td><td>2</td><td>2</td></tr><tr><td>0</td><td>2</td><td>3</td><td>6</td></tr><tr><td>1</td><td>0</td><td>4</td><td>24</td></tr><tr><td>1</td><td>1</td><td>5</td><td>120</td></tr><tr><td>1</td><td>2</td><td>6</td><td>720</td></tr></table>"
"```java<br>int[][] arr = {{1,2,3},{4,5,6}};<br>for(int i=0; i<arr[0].length; i++) {<br>    for(int j=0; j<arr.length; j++) {<br>        System.out.print(arr[j][i]);<br>    }<br>}<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start] --> B[i=0 to arr[0].length-1]<br>    B --> C[j=0 to arr.length-1]<br>    C --> D[print arr[j][i]]<br>    D --> C<br>    C --> B<br>    B --> E[Ende]</div><br><br><strong>Output:</strong> <code>142536</code> | <strong>Index:</strong> <code>0</code><br><br><table><tr><th>i</th><th>j</th><th>arr[j][i]</th><th>print</th></tr><tr><td>0</td><td>0</td><td>1</td><td><code>1</code></td></tr><tr><td>0</td><td>1</td><td>4</td><td><code>4</code></td></tr><tr><td>1</td><td>0</td><td>2</td><td><code>2</code></td></tr><tr><td>1</td><td>1</td><td>5</td><td><code>5</code></td></tr><tr><td>2</td><td>0</td><td>3</td><td><code>3</code></td></tr><tr><td>2</td><td>1</td><td>6</td><td><code>6</code></td></tr></table>"
"```java<br>int[][] arr = {{1,0,3},{4,5,6}};<br>int sum = 0;<br>for(int i=0; i<arr.length; i++) {<br>    for(int j=0; j<arr[0].length; j++) {<br>        sum += 10 / arr[i][j];<br>    }<br>}<br>System.out.print(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=0] --> B[i=0 to arr.length-1]<br>    B --> C[j=0 to arr[0].length-1]<br>    C --> D[sum += 10 / arr[i][j]]<br>    D --> C<br>    C --> B<br>    B --> E[ArithmeticException]</div><br><br><strong>Output:</strong> <code>ArithmeticException</code> | <strong>Index:</strong> <code>2</code><br><br><table><tr><th>i</th><th>j</th><th>arr[i][j]</th><th>10/arr[i][j]</th><th>sum</th></tr><tr><td>0</td><td>0</td><td>1</td><td>10</td><td>10</td></tr><tr><td>0</td><td>1</td><td>0</td><td>ArithmeticException</td><td>-</td></tr></table>"
"```java<br>int[][] arr = {{1,2,3},{4,5,6},{6}};<br>int sum = 0;<br>for(int i=0; i<arr.length; i++) {<br>    for(int j=0; j<arr.length; j++) {<br>        sum += arr[i][j];<br>    }<br>}<br>System.out.print(sum);<br>```<br><br>Was wird ausgegeben?";"<div class='mermaid'>flowchart TD<br>    A[Start: sum=0] --> B[i=0 to arr.length-1]<br>    B --> C[j=0 to arr.length-1]<br>    C --> D[sum += arr[i][j]]<br>    D --> C<br>    C --> B<br>    B --> E[ArrayIndexOutOfBoundsException]</div><br><br><strong>Output:</strong> <code>ArrayIndexOutOfBoundsException</code> | <strong>Index:</strong> <code>2</code><br><br><span style='color: #d35400; font-style: italic;'>Hinweis: arr.length in der inneren Schleife ist unsicher, da arr[2].length=1 ist, aber j bis 2 läuft.</span><br><br><table><tr><th>i</th><th>j</th><th>arr[i][j]</th><th>sum</th></tr><tr><td>0</td><td>0</td><td>1</td><td>1</td></tr><tr><td>0</td><td>1</td><td>2</td><td>3</td></tr><tr><td>0</td><td>2</td><td>3</td><td>6</td></tr><tr><td>1</td><td>0</td><td>4</td><td>10
